Outlet_ID,,Items_ID,Predicted_Outlet_Sales
OUT010,0,NCN55,1870.0877318111047
OUT010,1,FDA46,1098.7127318111047
OUT010,2,FDX22,1452.3377318111047
OUT010,3,FDD48,-63.41226818889527
OUT010,4,FDY19,-14.287268188895268
OUT010,5,FDP23,1536.7127318111047
OUT010,6,FDR14,-1094.4122681888953
OUT010,7,FDB03,1853.2127318111047
OUT010,8,FDB33,655.4627318111047
OUT010,9,FDO38,-659.4122681888953
OUT010,10,FDY59,-399.66226818889527
OUT010,11,DRF48,1088.5877318111047
OUT010,12,NCI06,912.4627318111047
OUT010,13,FDZ48,-159.66226818889527
OUT010,14,FDK26,1119.5877318111047
OUT010,15,NCP14,-264.03726818889527
OUT010,16,FDM60,-1203.0372681888953
OUT010,17,NCM53,-195.28726818889527
OUT010,18,FDA22,777.7127318111047
OUT010,19,FDD08,-1235.9122681888953
OUT010,20,FDJ10,342.58773181110473
OUT010,21,FDW21,-232.78726818889527
OUT010,22,FDH52,-842.4122681888953
OUT010,23,FDX09,842.5877318111047
OUT010,24,FDR31,462.08773181110473
OUT010,25,NCI30,1897.0877318111047
OUT010,26,FDD32,-487.41226818889527
OUT010,27,FDN45,1585.8377318111047
OUT010,28,FDQ12,1714.0877318111047
OUT010,29,NCO30,989.3377318111047
OUT010,30,NCU18,284.58773181110473
OUT010,31,FDE45,950.2127318111047
OUT010,32,FDO15,-626.1622681888953
OUT010,33,FDY31,426.08773181110473
OUT010,34,FDW03,-138.53726818889527
OUT010,35,FDH28,-1293.1622681888953
OUT010,36,FDQ11,2207.7127318111047
OUT010,37,FDL09,716.4627318111047
OUT010,38,FDO46,1104.3377318111047
OUT010,39,FDC28,-167.78726818889527
OUT010,40,FDP07,1228.9627318111047
OUT010,41,FDO45,-489.66226818889527
OUT010,42,FDW33,-236.53726818889527
OUT010,43,FDB10,1823.8377318111047
OUT010,44,FDR28,693.7127318111047
OUT010,45,FDQ49,652.0877318111047
OUT010,46,FDW45,382.33773181110473
OUT010,47,FDD09,989.7127318111047
OUT010,48,FDS33,-468.78726818889527
OUT010,49,FDB35,-385.91226818889527
OUT010,50,FDU21,-1338.9122681888953
OUT010,51,NCY05,-1312.1622681888953
OUT010,52,FDV52,-53.03726818889527
OUT010,53,NCQ29,2138.7127318111047
OUT010,54,DRF15,499.96273181110473
OUT010,55,FDT20,-1237.9122681888953
OUT010,56,NCE42,1766.7127318111047
OUT010,57,FDP09,1445.2127318111047
OUT010,58,NCK17,-1232.2872681888953
OUT010,59,FDU45,-75.66226818889527
OUT010,60,DRH11,-987.2872681888953
OUT010,61,DRK47,1658.3377318111047
OUT010,62,DRE48,1165.3377318111047
OUT010,63,DRL37,-1213.6622681888953
OUT010,64,NCF19,-1154.5372681888953
OUT010,65,FDR45,1867.2127318111047
OUT010,66,DRC01,-1072.0372681888953
OUT010,67,NCM54,86.96273181110473
OUT010,68,FDJ33,44.46273181110473
OUT010,69,NCU29,456.46273181110473
OUT010,70,FDH46,-235.91226818889527
OUT010,71,FDO09,2190.7127318111047
OUT010,72,FDB38,726.5877318111047
OUT010,73,FDP08,1174.9627318111047
OUT010,74,DRK49,-1237.4122681888953
OUT010,75,NCL17,366.21273181110473
OUT010,76,FDT50,-375.28726818889527
OUT010,77,NCO26,-134.53726818889527
OUT010,78,NCA17,446.96273181110473
OUT010,79,FDA56,59.58773181110473
OUT010,80,FDR16,1482.9627318111047
OUT010,81,FDA38,1881.2127318111047
OUT010,82,FDT01,1453.5877318111047
OUT010,83,NCM42,-171.03726818889527
OUT010,84,FDO48,1646.4627318111047
OUT010,85,FDC20,-970.2872681888953
OUT010,86,FDS01,965.2127318111047
OUT010,87,FDP48,1044.7127318111047
OUT010,88,FDN48,-415.53726818889527
OUT010,89,FDH16,-467.66226818889527
OUT010,90,FDU31,1620.2127318111047
OUT010,91,NCW41,580.7127318111047
OUT010,92,FDX13,2034.7127318111047
OUT010,93,FDR56,1231.3377318111047
OUT010,94,DRC36,869.7127318111047
OUT010,95,FDT19,867.9627318111047
OUT010,96,NCQ02,1027.4627318111047
OUT010,97,FDK34,1851.5877318111047
OUT010,98,NCQ42,100.58773181110473
OUT010,99,FDO51,-1122.7872681888953
OUT010,100,FDD33,1745.3377318111047
OUT010,101,FDP13,-1207.6622681888953
OUT010,102,DRK39,-618.6622681888953
OUT010,103,FDF28,131.21273181110473
OUT010,104,FDH08,1746.0877318111047
OUT010,105,FDN52,-501.41226818889527
OUT010,106,FDS08,950.8377318111047
OUT010,107,FDF41,1930.7127318111047
OUT010,108,FDJ50,-991.9122681888953
OUT010,109,DRF51,-1344.2872681888953
OUT010,110,FDJ26,1535.5877318111047
OUT010,111,FDN56,447.08773181110473
OUT010,112,FDZ39,-200.28726818889527
OUT010,113,NCO43,-301.16226818889527
OUT010,114,DRH49,-618.5372681888953
OUT010,115,FDT49,-249.28726818889527
OUT010,116,FDA31,831.5877318111047
OUT010,117,FDM20,1964.0877318111047
OUT010,118,FDW11,-900.0372681888953
OUT010,119,FDV12,-284.78726818889527
OUT010,120,FDE29,-1002.2872681888953
OUT010,121,FDN38,2070.7127318111047
OUT010,122,FDC56,-8.162268188895268
OUT010,123,DRH23,-1080.1622681888953
OUT010,124,FDG60,1748.7127318111047
OUT010,125,FDL16,-1233.1622681888953
OUT010,126,DRH39,-750.5372681888953
OUT010,127,FDT08,506.96273181110473
OUT010,128,NCS29,2236.3377318111047
OUT010,129,FDR12,837.8377318111047
OUT010,130,NCX06,960.0877318111047
OUT010,131,FDE02,-393.28726818889527
OUT010,132,FDC33,1319.2127318111047
OUT010,133,FDC37,-156.66226818889527
